나라,도시,Latitude,Longitude,icon
크로아티아,리예카,45.3270631,14.442176,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
크로아티아,마카르스카,43.2937769,17.0215239,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
크로아티아,포레치,45.2268187,13.5944023,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
태국,푸켓,7.8804479,98.3922504,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
태국,사무이섬,9.5120168,100.0135929,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
태국,피피섬,7.740738,98.77841,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
태국,파타야,12.9235557,100.8824551,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
태국,치앙라이,19.9104798,99.840576,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
태국,아유타야,14.3692325,100.5876634,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
태국,코사무이,9.5120168,100.0135929,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
태국,끄라비,8.1191811,99.1013498,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
통가,통가,-21.178986,-175.198242,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
튀니지,튀니스,36.8064948,10.1815316,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
튀르키에,이스탄불,41.0082376,28.9783589,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
튀르키에,앙카라,39.9333635,32.8597419,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
튀르키에,카파도키아,38.6586639,34.8531604,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
튀르키에,안탈리아,36.8968908,30.7133233,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
튀르키에,보드룸,37.034407,27.43054,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
튀르키에,마르딘,37.312903,40.733951,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
튀르키에,가지안테프,37.065953,37.37811,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
튀르키에,샨리우르파,37.1674039,38.7955149,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
파라과이,아순시온,-25.2637399,-57.575926,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
파푸아뉴기니,포트모르즈비,-9.4438004,147.1802671,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
페로 제도,클라스비크,62.2271922,-6.5779063,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
페루,리마,-12.0463731,-77.042754,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
페루,쿠스코,-13.53195,-71.9674626,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
페루,마추 픽추,-13.2263308,-72.4973215,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
페루,이키토스,-3.7437644,-73.2515532,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
페루,우앙카요,-12.0686357,-75.2102976,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
페루,이카,-14.07546,-75.7341811,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
페루,우아라스,-9.5261154,-77.5287792,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
포르투갈,신트라,38.8028687,-9.3816589,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
포르투갈,코임브라,40.2033145,-8.4102573,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
폴란드,크라쿠프,50.0646501,19.9449799,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
폴란드,바르샤바,52.2296756,21.0122287,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
폴란드,브로츠와프,51.1078852,17.0385376,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
폴란드,그다인스크,54.3520252,18.6466384,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
폴란드,포즈나뉴,52.406374,16.9251681,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
폴리네시아,Bora-Bora,-16.5004126,-151.7414904,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
푸에르토리코,산후안,18.4670588,-66.1184593,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
프랑스,마르세유,43.296482,5.36978,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
프랑스,니스,43.7101728,7.2619532,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
프랑스,스트라스부르,48.5734053,7.7521113,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
프랑스,툴루즈,43.604652,1.444209,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
프랑스,비아리츠,43.4831519,-1.558626,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
프랑스,샤모니,45.923697,6.869433,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
피지,나디,-17.7806257,177.4298961,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
피지,수바,-18.1405049,178.4232507,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
피지,야사와 섬,-16.7880861,177.5074315,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
피지,비티레부 섬,-17.8483187,178.0118473,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
핀란드,헬싱키,60.1698557,24.938379,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
핀란드,로바니에미,66.5039478,25.7293905,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
핀란드,투르쿠,60.4518126,22.2666303,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
핀란드,오울루,65.0120888,25.4650773,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
핀란드,포르보,60.3931919,25.6652739,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
헝가리,세게드,46.2530102,20.1414253,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
헝가리,죄르,47.6874569,17.6503974,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
호주,시드니,-33.8688197,151.2092955,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
호주,멜버른,-37.8136276,144.9630576,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
호주,브리즈번,-27.4704528,153.0260341,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
호주,퍼스,-31.9523123,115.861309,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
호주,애들레이드,-34.9284989,138.6007456,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
호주,캔버라,-35.2809368,149.1300092,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
호주,호바트,-42.8826055,147.3257196,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
호주,다윈 시티,-12.4637333,130.8444446,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
호주,케언스,-16.9203476,145.7709529,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
호주,앨리스스프링스,-23.698042,133.8807471,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
