나라,도시,Latitude,Longitude,icon
마다가스카르,피아나란초아,-21.4546147,47.0875045,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
마다가스카르,토아마시나,-18.1442811,49.3957836,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
마다가스카르,안치라나나,-12.3231349,49.2942833,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
말레이시아,쿠알라룸푸르,3.1319197,101.6840589,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
말레이시아,조지타운,38.9097057,-77.0653565,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
말레이시아,랑카위,6.35,99.8,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
말레이시아,코타키나발루,5.980408,116.0734568,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
말레이시아,페낭,5.2632341,100.4846227,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
멕시코,멕시코시티,19.4326077,-99.133208,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
멕시코,툴룸,20.2114185,-87.4653502,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
멕시코,오악사카,17.0731842,-96.7265889,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
멕시코,메리다,20.96594034,-89.59206634,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
멕시코,과나후아토,21.0190145,-101.2573586,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
멕시코,푸에블라,19.0414398,-98.2062727,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
멕시코,산 미겔 데 아옌데,20.9144491,-100.745235,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
멕시코,과달라하라,20.6596988,-103.3496092,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
멕시코,치첸이트사,20.6842849,-88.5677826,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
멕시코,푸에르토바야르타,20.653407,-105.2253316,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
모로코,마라케시,31.6225224,-7.9898258,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
모로코,페스,34.0181246,-5.0078451,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
모로코,카사블랑카,33.5731104,-7.5898434,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
모로코,에사우이라,31.5084926,-9.7595041,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
모로코,탠지어,35.7594651,-5.8339543,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
모로코,와르자자트,30.9335436,-6.937016,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
몬테네그로,코토르,42.424662,18.771234,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
몬테네그로,부드바,42.2911489,18.840295,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
몬테네그로,헤르체그노비,42.4572478,18.5314753,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
몬테네그로,체티네,42.3930959,18.9115964,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
몰디브,말레,4.1754959,73.5093474,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
몰타,발레타,35.8992375,14.5140996,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
몰타,임디나,35.8863691,14.4031146,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
몰타,세인트줄리언스,51.6009235,-2.9796352,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
몽골,울란바토르,47.8863988,106.9057439,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
미국,시카고,41.8781136,-87.6297982,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
미국,뉴올리언스,29.9510658,-90.0715323,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
미국,마이애미,25.7616798,-80.1917902,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
미국,시애틀,47.6061389,-122.3328481,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
미국,필라델피아,39.9525839,-75.1652215,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
미국,덴버,39.7392358,-104.990251,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
미국,호놀룰루,21.3098845,-157.8581401,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
미국,그랜드캐년,36.2678855,-112.3535253,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
미국,옐로스톤 국립공원,44.427963,-110.588455,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
미국,올랜도,28.5383832,-81.3789269,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
베트남,다낭,16.0544563,108.0717219,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
베트남,푸꾸옥,10.1627424,103.9981601,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
베트남,냐짱,12.2529152,109.1899018,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
베트남,달랏,11.9404192,108.4583132,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
베트남,호치민,10.8230989,106.6296638,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
벨기에,브뤼셀,50.8476424,4.3571696,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
벨기에,안트베르펜,51.2213404,4.4051485,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
벨기에,루벤,50.8822871,4.7137645,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
벨라루스,민스크,53.9006011,27.558972,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
보스니아 헤르체고비나,사라예보,43.8562586,18.4130763,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
보스니아 헤르체고비나,모스타르,43.3437748,17.8077578,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
보스니아 헤르체고비나,바냐루카,44.7721811,17.191,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
보스니아 헤르체고비나,야이체,44.3398061,17.2712934,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
보스니아 헤르체고비나,비셰그라드,47.7829694,18.9733392,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
보스니아 헤르체고비나,비하치,44.8119628,15.8685645,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
볼리비아,라파스,-16.489689,-68.1192936,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
볼리비아,포토시,-19.5722805,-65.7550063,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
북 마케도니아,프릴레프,41.3440827,21.5527922,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
북 마케도니아,Велес,41.7166558,21.77154551,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
북극,북극,76.2505778,-100.1139521,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
불가리아,바르나,43.2140504,27.9147333,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
불가리아,부르가스,42.5047926,27.4626361,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
브라질,리우데자네이루,-22.9068467,-43.1728965,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
브라질,상파울로,-23.5557714,-46.6395571,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
세르비아,베오그라드,44.8125449,20.46123,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
세르비아,니슈,43.320926,21.8954069,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
세르비아,수보티차,46.0969581,19.65763,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
세이셸,빅토리아,48.4284207,-123.3656444,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
세이셸,쁘하슬랑,48.5567329,2.6928498,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
세이셸,Baie Ste Anne,47.05259,-64.9524579,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
세이셸,라 디그,45.8678815,4.1225591,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스웨덴,스톡홀름,59.3293235,18.0685808,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스웨덴,예테보리,57.70887,11.97456,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스웨덴,키루나,67.8557995,20.2252821,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스웨덴,외레브로,59.2752626,15.2134105,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스위스,취리히,47.3768866,8.541694,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스위스,루체른,47.0501682,8.3093072,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스위스,바젤,47.5595986,7.5885761,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스위스,루가노,46.0036778,8.951052,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스위스,생모리츠,46.4907973,9.8355079,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스위스,라우터브루넨,46.5935058,7.9090981,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스페인,바르셀로나,41.3873974,2.168568,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스페인,발렌시아,39.4699075,-0.3762881,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스페인,코르도바,37.8881751,-4.7793835,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스페인,이비자,39.0200099,1.4821482,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
스페인,팜플로나,42.812526,-1.6457745,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
슬로베니아,마리보르,46.5546503,15.6458812,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
슬로베니아,프투이,46.4199535,15.8696884,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
슬로베니아,크란,46.2428344,14.3555417,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
신트마르턴,필립스부르크,18.0295839,-63.0471371,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
싱가포르,싱가포르,1.352083,103.819836,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
아르헨티나,부에노스 아이레스,-34.6036844,-58.3815591,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
아르헨티나,산카를로스데바릴로체,-41.1334722,-71.3102778,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
아르헨티나,우수아이아,-54.8019121,-68.3029511,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
아르헨티나,마르델플라타,-38.0054771,-57.5426106,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
아이슬란드,레이캬비크,64.1469868,-21.9407552,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
아이슬란드,하프나르피외르뒤르,64.0668935,-21.9546958,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
아이슬란드,비크이뮈르달,63.4176505,-18.9974395,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
아이슬란드,후사비크,66.047451,-17.3439079,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
아이슬란드,그린다비크,63.8433896,-22.4359996,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
